time,state,controller_mode,target_z,curr_z,raw_z,height_for_safety,target_vz,curr_vz,thrust,raw_thrust,search_thrust,liftoff_thrust,hover_thrust_est,thrust_no_floor,floor_applied,a_cmd_z,v_cmd_z,z_integral,roll_cmd_deg,pitch_cmd_deg,yaw_cmd_deg,yaw_mocap_deg,mocap_age,kf_used_measurement,mavlink_sent,mav_mode,mav_heartbeat_age,mav_send_count,mav_last_thrust
0.001,THRUST_SEARCH,OPEN_LOOP,0.0,0.0,1e-05,1e-05,0.0,0.0,0.58,0.58,0.58,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8447,0.002,True,True,Mode(963497464),0.001,0,
0.011,THRUST_SEARCH,OPEN_LOOP,0.0,0.0,1e-05,1e-05,0.0,1e-05,0.5802,0.5802,0.5802,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8472,0.004,True,False,Mode(963497464),0.012,1,0.58
0.022,THRUST_SEARCH,OPEN_LOOP,0.0,1e-05,2e-05,2e-05,0.0,6e-05,0.5804,0.5804,0.5804,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8464,0.009,True,False,Mode(963497464),0.023,1,0.58
0.032,THRUST_SEARCH,OPEN_LOOP,0.0,1e-05,1e-05,1e-05,0.0,7e-05,0.5806,0.5806,0.5806,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.849,0.0015,True,False,Mode(963497464),0.0335,1,0.58
0.043,THRUST_SEARCH,OPEN_LOOP,0.0,0.0,-3e-05,0.0,0.0,-0.0001,0.5809,0.5809,0.5809,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8465,0.0036,True,False,Mode(963497464),0.0441,1,0.58
0.055,THRUST_SEARCH,OPEN_LOOP,0.0,2e-05,6e-05,6e-05,0.0,0.00017,0.5811,0.5811,0.5811,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8444,0.006,True,True,Mode(963497464),0.055,1,0.58
0.065,THRUST_SEARCH,OPEN_LOOP,0.0,1e-05,-3e-05,1e-05,0.0,-3e-05,0.5813,0.5813,0.5813,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8517,0.001,True,False,Mode(963497464),0.066,2,0.5811
0.076,THRUST_SEARCH,OPEN_LOOP,0.0,1e-05,3e-05,3e-05,0.0,6e-05,0.5815,0.5815,0.5815,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8499,0.003,True,False,Mode(963497464),0.077,2,0.5811
0.087,THRUST_SEARCH,OPEN_LOOP,0.0,1e-05,1e-05,1e-05,0.0,3e-05,0.5817,0.5817,0.5817,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8477,0.0045,True,False,Mode(963497464),0.0875,2,0.5811
0.098,THRUST_SEARCH,OPEN_LOOP,0.0,0.0,-2e-05,0.0,0.0,-6e-05,0.582,0.582,0.582,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8507,0.001,True,False,Mode(963497464),0.0985,2,0.5811
0.109,THRUST_SEARCH,OPEN_LOOP,-0.0,-0.0,-2e-05,-0.0,0.0,-0.00012,0.5822,0.5822,0.5822,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.852,0.0032,True,True,Mode(963497464),0.1097,2,0.5811
0.119,THRUST_SEARCH,OPEN_LOOP,-0.0,-1e-05,-1e-05,-1e-05,0.0,-0.00015,0.5824,0.5824,0.5824,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8516,0.005,True,False,Mode(963497464),0.1205,3,0.5822
0.13,THRUST_SEARCH,OPEN_LOOP,-0.0,-0.0,2e-05,2e-05,0.0,-9e-05,0.5826,0.5826,0.5826,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8511,0.001,True,False,Mode(963497464),0.1314,3,0.5822
0.141,THRUST_SEARCH,OPEN_LOOP,-0.0,-0.0,-0.0,-0.0,0.0,-9e-05,0.5828,0.5828,0.5828,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8489,0.003,True,False,Mode(963497464),0.142,3,0.5822
0.152,THRUST_SEARCH,OPEN_LOOP,0.0,0.0,1e-05,1e-05,0.0,-6e-05,0.583,0.583,0.583,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8504,0.0045,True,False,Mode(963497464),0.1525,3,0.5822
0.162,THRUST_SEARCH,OPEN_LOOP,0.0,1e-05,3e-05,3e-05,0.0,-0.0,0.5832,0.5832,0.5832,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8484,0.007,True,True,Mode(963497464),0.1635,3,0.5822
0.174,THRUST_SEARCH,OPEN_LOOP,-0.0,-1e-05,-6e-05,-1e-05,0.0,-0.00011,0.5835,0.5835,0.5835,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8522,0.001,True,False,Mode(963497464),0.175,4,0.5832
0.185,THRUST_SEARCH,OPEN_LOOP,-0.0,-0.0,3e-05,3e-05,0.0,-5e-05,0.5837,0.5837,0.5837,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.848,0.003,True,False,Mode(963497464),0.186,4,0.5832
0.195,THRUST_SEARCH,OPEN_LOOP,0.0,0.0,1e-05,1e-05,0.0,-4e-05,0.5839,0.5839,0.5839,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8463,0.0075,True,False,Mode(963497464),0.1964,4,0.5832
0.206,THRUST_SEARCH,OPEN_LOOP,-0.0,-0.0,-2e-05,-0.0,0.0,-7e-05,0.5841,0.5841,0.5841,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8478,0.0006,True,False,Mode(963497464),0.207,4,0.5832
0.217,THRUST_SEARCH,OPEN_LOOP,0.0,0.0,3e-05,3e-05,0.0,-3e-05,0.5843,0.5843,0.5843,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8462,0.003,True,True,Mode(963497464),0.218,4,0.5832
0.228,THRUST_SEARCH,OPEN_LOOP,-0.0,-0.0,-1e-05,-0.0,0.0,-4e-05,0.5846,0.5846,0.5846,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8512,0.005,True,False,Mode(963497464),0.229,5,0.5843
0.239,THRUST_SEARCH,OPEN_LOOP,0.0,0.0,2e-05,2e-05,0.0,-2e-05,0.5848,0.5848,0.5848,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8539,0.001,True,False,Mode(963497464),0.2399,5,0.5843
0.25,THRUST_SEARCH,OPEN_LOOP,0.0,0.0,-0.0,0.0,0.0,-2e-05,0.585,0.585,0.585,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8553,0.003,True,False,Mode(963497464),0.2509,5,0.5843
0.26,THRUST_SEARCH,OPEN_LOOP,-0.0,-0.0,-3e-05,-0.0,0.0,-5e-05,0.5852,0.5852,0.5852,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8539,0.0045,True,False,Mode(963497464),0.2614,5,0.5843
0.272,THRUST_SEARCH,OPEN_LOOP,-0.0,-1e-05,-4e-05,-1e-05,0.0,-8e-05,0.5854,0.5854,0.5854,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8541,0.005,True,True,Mode(963497464),0.2724,5,0.5843
0.282,THRUST_SEARCH,OPEN_LOOP,-0.0,-1e-05,2e-05,2e-05,0.0,-6e-05,0.5856,0.5856,0.5856,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8501,0.001,True,False,Mode(963497464),0.283,6,0.5854
0.293,THRUST_SEARCH,OPEN_LOOP,-0.0,-0.0,4e-05,4e-05,0.0,-3e-05,0.5859,0.5859,0.5859,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8477,0.003,True,False,Mode(963497464),0.2939,6,0.5854
0.304,THRUST_SEARCH,OPEN_LOOP,0.0,0.0,2e-05,2e-05,0.0,-1e-05,0.5861,0.5861,0.5861,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8466,0.008,True,False,Mode(963497464),0.3049,6,0.5854
0.315,THRUST_SEARCH,OPEN_LOOP,-0.0,-0.0,-1e-05,-0.0,0.0,-2e-05,0.5863,0.5863,0.5863,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8485,0.001,True,False,Mode(963497464),0.3156,6,0.5854
0.326,THRUST_SEARCH,OPEN_LOOP,0.0,0.0,1e-05,1e-05,0.0,-1e-05,0.5865,0.5865,0.5865,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.848,0.003,True,True,Mode(963497464),0.3266,6,0.5854
0.337,THRUST_SEARCH,OPEN_LOOP,0.0,0.0,2e-05,2e-05,0.0,-0.0,0.5867,0.5867,0.5867,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8484,0.005,True,False,Mode(963497464),0.3376,7,0.5865
0.348,THRUST_SEARCH,OPEN_LOOP,0.0,0.0,-2e-05,0.0,0.0,-1e-05,0.587,0.587,0.587,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8464,0.001,True,False,Mode(963497464),0.3485,7,0.5865
0.359,THRUST_SEARCH,OPEN_LOOP,0.0,0.0,1e-05,1e-05,0.0,-1e-05,0.5872,0.5872,0.5872,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8452,0.0031,True,False,Mode(963497464),0.3596,7,0.5865
0.369,THRUST_SEARCH,OPEN_LOOP,0.0,0.0,1e-05,1e-05,0.0,-0.0,0.5874,0.5874,0.5874,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8442,0.0045,True,False,Mode(963497464),0.37,7,0.5865
0.38,THRUST_SEARCH,OPEN_LOOP,0.0,0.0,2e-05,2e-05,0.0,0.0,0.5876,0.5876,0.5876,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8457,0.007,True,True,Mode(963497464),0.3809,7,0.5865
0.392,THRUST_SEARCH,OPEN_LOOP,0.0,0.0,-2e-05,0.0,0.0,-1e-05,0.5878,0.5878,0.5878,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8501,0.0013,True,False,Mode(963497464),0.3927,8,0.5876
0.403,THRUST_SEARCH,OPEN_LOOP,0.0,0.0,0.0,0.0,0.0,-0.0,0.5881,0.5881,0.5881,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.849,0.006,True,False,Mode(963497464),0.4037,8,0.5876
0.413,THRUST_SEARCH,OPEN_LOOP,0.0,0.0,0.0,0.0,0.0,-0.0,0.5883,0.5883,0.5883,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8481,0.0075,True,False,Mode(963497464),0.4142,8,0.5876
0.424,THRUST_SEARCH,OPEN_LOOP,0.0,0.0,3e-05,3e-05,0.0,1e-05,0.5885,0.5885,0.5885,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8487,0.01,True,False,Mode(963497464),0.4252,8,0.5876
0.435,THRUST_SEARCH,OPEN_LOOP,0.0,1e-05,1e-05,1e-05,0.0,1e-05,0.5887,0.5887,0.5887,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8508,0.005,True,True,Mode(963497464),0.4361,8,0.5876
0.446,THRUST_SEARCH,OPEN_LOOP,0.0,0.0,-4e-05,0.0,0.0,-1e-05,0.5889,0.5889,0.5889,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8526,0.0068,True,False,Mode(963497464),0.447,9,0.5887
0.457,THRUST_SEARCH,OPEN_LOOP,-0.0,-0.0,-3e-05,-0.0,0.0,-2e-05,0.5891,0.5891,0.5891,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-3.8401,-3.8529,0.009,True,False,Mode(963497464),0.458,9,0.5887
