time,state,controller_mode,target_z,curr_z,raw_z,height_for_safety,target_vz,curr_vz,thrust,raw_thrust,search_thrust,liftoff_thrust,hover_thrust_est,thrust_no_floor,floor_applied,a_cmd_z,v_cmd_z,z_integral,roll_cmd_deg,pitch_cmd_deg,yaw_cmd_deg,yaw_mocap_deg,mocap_age,kf_used_measurement,mavlink_sent,mav_mode,mav_heartbeat_age,mav_send_count,mav_last_thrust
0.002,THRUST_SEARCH,OPEN_LOOP,0.0005,0.00048,0.0006,0.0006,0.0,6e-05,0.58,0.58,0.58,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-1.9209,-1.9878,0.001,True,True,Mode(963497464),0.0,0,
0.011,THRUST_SEARCH,OPEN_LOOP,0.0005,0.00045,0.00042,0.00045,0.0,-4e-05,0.5802,0.5802,0.5802,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-1.9209,-1.9946,0.003,True,False,Mode(963497464),0.011,1,0.58
0.022,THRUST_SEARCH,OPEN_LOOP,0.0005,0.00051,0.00063,0.00063,0.0,0.00044,0.5804,0.5804,0.5804,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-1.9209,-2.0004,0.005,True,False,Mode(963497464),0.0219,1,0.58
0.032,THRUST_SEARCH,OPEN_LOOP,0.0005,0.00048,0.00039,0.00048,0.0,-1e-05,0.5806,0.5806,0.5806,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-1.9209,-1.9732,0.0007,True,False,Mode(963497464),0.0324,1,0.58
0.043,THRUST_SEARCH,OPEN_LOOP,0.0005,0.00053,0.00066,0.00066,0.0,0.00074,0.5809,0.5809,0.5809,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-1.9209,-1.982,0.0015,True,False,Mode(963497464),0.0429,1,0.58
0.055,THRUST_SEARCH,OPEN_LOOP,0.0006,0.00058,0.00068,0.00068,0.0,0.00138,0.5811,0.5811,0.5811,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-1.9209,-1.9849,0.006,True,True,Mode(963497464),0.0539,1,0.58
0.064,THRUST_SEARCH,OPEN_LOOP,0.0006,0.00064,0.00077,0.00077,0.0,0.00213,0.5813,0.5813,0.5813,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-1.9209,-1.9687,0.0075,True,False,Mode(963497464),0.0644,2,0.5811
0.075,THRUST_SEARCH,OPEN_LOOP,0.0007,0.00067,0.00069,0.00069,0.0,0.00221,0.5815,0.5815,0.5815,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-1.9209,-1.9815,0.001,True,False,Mode(963497464),0.0753,2,0.5811
0.086,THRUST_SEARCH,OPEN_LOOP,0.0007,0.00066,0.00056,0.00066,0.0,0.00168,0.5817,0.5817,0.5817,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-1.9209,-1.9922,0.0031,True,False,Mode(963497464),0.0864,2,0.5811
0.097,THRUST_SEARCH,OPEN_LOOP,0.0006,0.00062,0.00048,0.00062,0.0,0.001,0.5819,0.5819,0.5819,,0.67,,False,0.0,0.0,0.0,0.0,0.0,-1.9209,-1.9918,0.008,True,False,Mode(963497464),0.0973,2,0.5811
